Year,Month,SAC,YOLO,CSMR,MOKE,MISC,SJR,EAST,TOT,CCC,SWP,CVP,NBAQ,EXPORTS,GCD,PREC,MISDV,CD,XGEO,WEST,RIO,OUT,EXPIN,DIVER,EFFEC,EFFDIV,X2,LibIsland
2011,4,53733.3333333333,7530.06666666667,2171,3149.66666666667,153.966666666667,26383.3333333333,31857.9666666667,93121.3666666667,78.4333333333333,3905.6,2237.2,9.86666666666667,6231.1,1846.93333333333,0,0,1846.93333333333,8457.46666666667,32883.7666666667,52288.7333333333,85043.3333333333,0.07,9.36666666666667,86114.5,1.46666666666667,50.79,1
2011,5,35580.6451612903,443.709677419355,1312.22580645161,2150.64516129032,144.129032258065,12648.3870967742,16255.3870967742,52279.7419354839,135.129032258065,1698.67741935484,1679.87096774194,55.7741935483871,3569.45161290323,2375.83870967742,724.612903225806,0,1651.22580645161,5314.8064516129,16927.5806451613,30247.1612903226,47059.1290322581,0.0632258064516129,10.0645161290323,48016.8387096774,2.19354838709677,55.7974193548387,1
2011,6,40506.6666666667,722.3,943.966666666667,1651.66666666667,221.633333333333,10658,13475.2666666667,54704.2333333333,149.166666666667,6268.83333333333,3503.7,78.5,10000.2,3683.43333333333,1016.23333333333,0,2667.2,6428.56666666667,8169.9,34053.5333333333,42036.8666666667,0.18,23.5666666666667,45519.1666666667,7.9,58.621,1
2011,7,21632.2580645161,640.612903225806,269.870967741935,2021.29032258065,269.548387096774,8586.12903225806,11146.8387096774,33419.7096774194,177.903225806452,7161.90322580645,4226.83870967742,100.096774193548,11666.7419354839,4275.93548387097,177.483870967742,0,4098.45161290323,5582.64516129032,2398.83870967742,15542.6774193548,17654.5161290323,0.368387096774194,51.4193548387097,24965.2903225806,34.4838709677419,64.8777419354839,1
2011,8,17190.3225806452,592.193548387097,66.0645161290323,822.032258064516,231.709677419355,5390.64516129032,6510.45161290323,24292.9677419355,222.064516129032,7171.77419354839,4206.16129032258,98,11698,3731.64516129032,0,0,3731.64516129032,6956.12903225806,-657.064516129032,9781.61290322581,8863.32258064516,0.468709677419355,63.9677419354839,18902.3225806452,53.5483870967742,76.21,1
2011,9,21046.6666666667,386.833333333333,37.0333333333333,477.633333333333,186.133333333333,4272,4972.8,26406.3,169.6,7158.56666666667,4182.8,105.033333333333,11616,2584.5,0,0,2584.5,8284.66666666667,-38.4,12425.2333333333,12205.8,0.427,53.9,22134.3,44.9333333333333,75.3023333333334,1
2011,10,17654.8387096774,125.032258064516,63,1033.1935483871,65.7741935483871,5027.09677419355,6189.06451612903,23968.935483871,138.870967741935,6561.61290322581,4038.32258064516,73.6451612903226,10812.1290322581,1855.90322580645,776.451612903226,0,1079.45161290323,5677.87096774194,353.129032258065,11799.7741935484,12077.2903225806,0.454193548387097,51.6774193548387,18941.8387096774,39,74.0138709677419,1
2011,11,12710,65.9,60.2666666666667,544.533333333333,235.8,2755.33333333333,3595.93333333333,16371.8333333333,305.466666666667,3477.2,3367.1,72.4666666666667,7222.3,1728.23333333333,848,0,880.233333333333,5756.66666666667,1558.16666666667,6772.7,8269.4,0.426333333333333,50.2333333333333,13616.5,40.7333333333333,79.4883333333334,1
2011,12,14480.6451612903,84.9677419354839,53.0322580645161,266.870967741935,100.322580645161,1816.45161290323,2236.67741935484,16802.2903225806,263.516129032258,5197.90322580645,3941.16129032258,49.741935483871,9452.45161290323,2080.64516129032,103.41935483871,0,1977.22580645161,3121.25806451613,-5379.64516129032,10890.6774193548,5372.70967741936,0.541290322580645,68,14985.8387096774,63.8709677419355,81.1896774193549,1
2012,1,15003.2258064516,158.806451612903,133.193548387097,259.774193548387,48.0322580645161,1821.29032258065,2262.29032258065,17424.3225806452,109.774193548387,3668.1935483871,2307.61290322581,39.5806451612903,6125.09677419355,1212.90322580645,1331.03225806452,0,-118.129032258065,3164.77419354839,-621.225806451613,12030.3225806452,11417.3870967742,0.376129032258064,40.8064516129032,15603.0322580645,33.7096774193548,81.236129032258,1
